task,experiment,model,target_class,feature,view_type,value,rank
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Crystal Palace,coefficient,-1.1184677285770992,4
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Auxerre,coefficient,-1.052638032606761,5
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Freiburg,coefficient,1.0432548110218889,6
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Wolves,coefficient,-1.02276871377955,7
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Valladolid,coefficient,-0.9561919970179352,8
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Atalanta,coefficient,-0.9097272342724702,9
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Bochum,coefficient,-0.8842798969056532,10
classification,detailed_2024_2025,LogisticRegression,FW,Sh_stats_defense,coefficient,-0.8522391918346323,11
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Fiorentina,coefficient,0.8402900352859433,12
classification,detailed_2024_2025,LogisticRegression,FW,PrgDist_stats_possession,coefficient,-0.8360458811031216,13
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Paris S-G,coefficient,0.8283312414273644,14
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Napoli,coefficient,0.8212323614968154,15
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Lyon,coefficient,0.8107391749312546,16
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Hellas Verona,coefficient,-0.7874067138678064,17
classification,detailed_2024_2025,LogisticRegression,FW,Def 3rd_stats_possession,coefficient,-0.7782933627767122,18
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Espanyol,coefficient,-0.7668480115679251,19
classification,detailed_2024_2025,LogisticRegression,FW,TI,coefficient,-0.7660050148734467,20
classification,detailed_2024_2025,LogisticRegression,GK,Def Pen,coefficient,0.7452085855659447,1
classification,detailed_2024_2025,LogisticRegression,GK,PrgDist,coefficient,0.46311860349021683,2
classification,detailed_2024_2025,LogisticRegression,GK,Mn/MP,coefficient,0.43509145177858993,3
classification,detailed_2024_2025,LogisticRegression,GK,Dead,coefficient,0.40406739284187065,4
classification,detailed_2024_2025,LogisticRegression,GK,Def 3rd_stats_possession,coefficient,0.37171707207236987,5
classification,detailed_2024_2025,LogisticRegression,GK,FK_stats_passing_types,coefficient,0.349545696569341,6
classification,detailed_2024_2025,LogisticRegression,GK,unSub,coefficient,0.33930878375103674,7
classification,detailed_2024_2025,LogisticRegression,GK,Compl,coefficient,0.30622559427093937,8
classification,detailed_2024_2025,LogisticRegression,GK,Won%,coefficient,0.30589587165036486,9
classification,detailed_2024_2025,LogisticRegression,GK,Cmp%,coefficient,-0.2891180200458077,10
classification,detailed_2024_2025,LogisticRegression,GK,Mn/Start,coefficient,0.27298408861589923,11
classification,detailed_2024_2025,LogisticRegression,GK,Err,coefficient,0.24670280820339982,12
classification,detailed_2024_2025,LogisticRegression,GK,OG_stats_keeper_adv,coefficient,0.24594000434499963,13
classification,detailed_2024_2025,LogisticRegression,GK,onxG,coefficient,0.24487876673937886,14
classification,detailed_2024_2025,LogisticRegression,GK,Min%,coefficient,0.23723672262007056,15
classification,detailed_2024_2025,LogisticRegression,GK,Mid 3rd_stats_possession,coefficient,-0.23409900973092637,16
classification,detailed_2024_2025,LogisticRegression,GK,SCA90,coefficient,-0.23050123351200094,17
classification,detailed_2024_2025,LogisticRegression,GK,90s,coefficient,0.22353813201071707,18
classification,detailed_2024_2025,LogisticRegression,GK,Min,coefficient,0.22333665266980757,19
classification,detailed_2024_2025,LogisticRegression,GK,onxGA,coefficient,0.21459132844946818,20
classification,detailed_2024_2025,LogisticRegression,MF,Clr,coefficient,-1.3200342326219918,1
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Auxerre,coefficient,1.1088646739841497,2
classification,detailed_2024_2025,LogisticRegression,MF,Carries,coefficient,-1.0853540224237679,3
classification,detailed_2024_2025,LogisticRegression,MF,Mid 3rd_stats_possession,coefficient,0.9720143235927501,4
classification,detailed_2024_2025,LogisticRegression,MF,Nation_MAR,coefficient,0.8975196927292604,5
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Espanyol,coefficient,0.8759363239615421,6
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Toulouse,coefficient,0.8646600598801043,7
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Wolves,coefficient,0.8598446217892058,8
