Player,Nation,Squad,Comp,Pos,season,source_file,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,start_rate
Lorenzo Venuti,ITA,Lecce,Serie A,DF,2023_2024,top5-players.csv,28.0,1995.0,14,3,364,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,7.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.025,0.025,0.075,0.1,1.75,4.0,3.75,0.21428571428571427
Bart Verbruggen,NED,Brighton,Premier League,GK,2023_2024,top5-players.csv,20.0,2002.0,21,21,1890,21.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0
Jordan Veretout,FRA,Marseille,Ligue 1,MF,2023_2024,top5-players.csv,30.0,1993.0,29,24,2183,24.3,1,2,3,1,0,0,4,0,2.9,2.9,5.0,7.9,53.0,194.0,81.0,0.0411522633744856,0.0823045267489712,0.12345679012345678,0.0411522633744856,0.0,0.0,0.1646090534979424,0.0,0.11934156378600823,0.11934156378600823,0.205761316872428,0.32510288065843623,2.1810699588477367,7.983539094650205,3.333333333333333,0.8275862068965517
Arthur Vermeeren,BEL,Atlético Madrid,La Liga,MF,2023_2024,top5-players.csv,18.0,2005.0,5,2,162,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.05555555555555556,0.05555555555555556,1.1111111111111112,3.888888888888889,3.888888888888889,0.4
Yorbe Vertessen,BEL,Union Berlin,Bundesliga,FW,2023_2024,top5-players.csv,22.0,2001.0,13,7,593,6.6,3,2,5,3,0,0,1,0,2.7,2.7,1.3,4.0,10.0,13.0,39.0,0.4545454545454546,0.30303030303030304,0.7575757575757576,0.4545454545454546,0.0,0.0,0.15151515151515152,0.0,0.4090909090909091,0.4090909090909091,0.196969696969697,0.6060606060606061,1.5151515151515151,1.9696969696969697,5.909090909090909,0.5384615384615384
Mikel Vesga,ESP,Athletic Club,La Liga,MF,2023_2024,top5-players.csv,30.0,1993.0,27,18,1534,17.0,3,1,4,1,2,2,2,0,2.7,1.1,1.2,2.3,10.0,88.0,29.0,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.15882352941176472,0.06470588235294118,0.07058823529411765,0.13529411764705881,0.5882352941176471,5.176470588235294,1.7058823529411764,0.6666666666666666
Guglielmo Vicario,ITA,Tottenham,Premier League,GK,2023_2024,top5-players.csv,26.0,1996.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,1.0
Carlos Vicente,ESP,Alavés,La Liga,FW,2023_2024,top5-players.csv,24.0,1999.0,18,12,1114,12.4,2,4,6,2,0,0,1,0,2.3,2.3,3.7,6.0,23.0,23.0,82.0,0.16129032258064516,0.3225806451612903,0.48387096774193544,0.16129032258064516,0.0,0.0,0.08064516129032258,0.0,0.1854838709677419,0.1854838709677419,0.29838709677419356,0.48387096774193544,1.8548387096774193,1.8548387096774193,6.612903225806451,0.6666666666666666
Nacho Vidal,ESP,Osasuna,La Liga,DF,2023_2024,top5-players.csv,28.0,1995.0,7,0,96,1.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0.0,1.0,4.0,0.9090909090909091,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.2727272727272727,0.0,0.9090909090909091,3.6363636363636362,0.0
Nacho Vidal,ESP,Mallorca,La Liga,DF,2023_2024,top5-players.csv,28.0,1995.0,8,5,416,4.6,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.2,5.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.2173913043478261,0.2173913043478261,0.04347826086956522,0.2608695652173913,1.0869565217391306,3.2608695652173916,6.739130434782609,0.625
